               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,             0.04399,             0.12715,                   0,             0.57302,               0.554,             0.57139,             0.24135,            0.046205,             0.15206,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.044272,             0.12776,                   0,             0.57771,             0.55427,             0.57434,             0.25182,            0.045321,             0.15044,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.044027,             0.13183,                   0,             0.56762,             0.56636,              0.5665,             0.24721,            0.045626,             0.15126,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.044027,             0.12716,                   0,             0.57148,             0.56527,             0.56962,             0.25145,            0.045236,             0.15185,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.043812,              0.1308,                   0,             0.56485,             0.56087,             0.56429,             0.24266,            0.046412,             0.15284,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.043058,              0.1238,                   0,             0.56605,              0.5531,             0.56095,             0.24277,            0.045813,              0.1531,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.043738,             0.12487,                   0,             0.58318,             0.54356,             0.56046,             0.24088,            0.045882,             0.15401,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.043104,             0.12822,                   0,             0.56562,             0.56073,             0.56173,             0.24187,            0.046015,             0.15523,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.042521,             0.12678,                   0,             0.58281,             0.55922,              0.5694,             0.24523,            0.045737,             0.15447,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.042863,             0.12611,                   0,             0.56771,             0.54905,              0.5582,             0.23958,            0.045903,             0.15502,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.042749,             0.12606,                   0,             0.56279,             0.55867,             0.55956,             0.24033,            0.045858,             0.15461,                   0,            0.000496,            0.000496,            0.000496
